,MSFT,Rolling Mean,STD,Upper Limit,Lower Limit,Value
2010-04-30 16:00:00,28.71,28.7555,0.624748159787,29.3802481598,28.1307518402,-0.0728293461728
2010-05-03 16:00:00,29.01,28.8305,0.553310372595,29.3838103726,28.2771896274,0.324411051899
2010-05-04 16:00:00,28.32,28.8685,0.483106994796,29.3516069948,28.3853930052,-1.13535925977
2010-05-05 16:00:00,28.06,28.892,0.425658622793,29.3176586228,28.4663413772,-1.95461798598
2010-05-06 16:00:00,27.24,28.848,0.539830382718,29.3878303827,28.3081696173,-2.97871340976
2010-05-07 16:00:00,26.52,28.748,0.748645091939,29.4966450919,27.9993549081,-2.97604301957
2010-05-10 16:00:00,27.2,28.683,0.823957714807,29.5069577148,27.8590422852,-1.79984964441
2010-05-11 16:00:00,27.15,28.6095,0.892580381166,29.5020803812,27.7169196188,-1.63514685153
2010-05-12 16:00:00,27.67,28.5445,0.912068066481,29.4565680665,27.6324319335,-0.958810018833
2010-05-13 16:00:00,27.49,28.468,0.933987490055,29.4019874901,27.5340125099,-1.04712323282
2010-05-14 16:00:00,27.19,28.386,0.97176128756,29.3577612876,27.4142387124,-1.23075493468
2010-05-17 16:00:00,27.2,28.287,0.987346790247,29.2743467902,27.2996532098,-1.10093030204
2010-05-18 16:00:00,27.01,28.1635,0.984742953369,29.1482429534,27.1787570466,-1.17137167223
2010-05-19 16:00:00,26.67,28.0245,0.989781873897,29.0142818739,27.0347181261,-1.36848333529
2010-05-20 16:00:00,25.6,27.829,1.06427093899,28.893270939,26.764729061,-2.09439149218
2010-05-21 16:00:00,25.34,27.641,1.15607275313,28.7970727531,26.4849272469,-1.99035916535
2010-05-24 16:00:00,24.81,27.4195,1.25383821251,28.6733382125,26.1656617875,-2.08120950052
2010-05-25 16:00:00,24.62,27.2005,1.3426230219,28.5431230219,25.8578769781,-1.92198402523
2010-05-26 16:00:00,23.62,26.9285,1.48913000033,28.4176300003,25.4393699997,-2.22176707155
2010-05-27 16:00:00,24.55,26.699,1.48405170856,28.1830517086,25.2149482914,-1.44806275118
2010-05-28 16:00:00,24.36,26.4815,1.49255088955,27.9740508895,24.9889491105,-1.42139207102
2010-06-01 16:00:00,24.45,26.2535,1.43307646617,27.6865764662,24.8204235338,-1.25848134595
2010-06-02 16:00:00,24.98,26.0865,1.37293490857,27.4594349086,24.7135650914,-0.805937698209
2010-06-03 16:00:00,25.36,25.9515,1.29944633959,27.2509463396,24.6520536604,-0.455193863709
2010-06-04 16:00:00,24.35,25.807,1.3092709904,27.1162709904,24.4977290096,-1.11283302745
2010-06-07 16:00:00,23.88,25.675,1.36547851647,27.0404785165,24.3095214835,-1.31455748175
2010-06-08 16:00:00,23.71,25.5005,1.38322078384,26.8837207838,24.1172792162,-1.29444266665
2010-06-09 16:00:00,23.41,25.3135,1.40117723061,26.7146772306,23.9123227694,-1.35850052257
2010-06-10 16:00:00,23.61,25.1105,1.33431028901,26.444810289,23.776189711,-1.12455102262
2010-06-11 16:00:00,24.23,24.9475,1.22279177984,26.1702917798,23.7247082202,-0.586772017796
2010-06-14 16:00:00,24.08,24.792,1.11566171066,25.9076617107,23.6763382893,-0.638186282811
2010-06-15 16:00:00,25.1,24.687,0.96587075522,25.6528707552,23.7211292448,0.427593441222
2010-06-16 16:00:00,24.85,24.579,0.798754952213,25.3777549522,23.7802450478,0.339278021688
2010-06-17 16:00:00,24.9,24.4905,0.636449650715,25.1269496507,23.8540503493,0.643413032814
2010-06-18 16:00:00,24.97,24.459,0.592735851348,25.0517358513,23.8662641487,0.862104087069
2010-06-21 16:00:00,24.5,24.417,0.555622931587,24.9726229316,23.8613770684,0.149381883435
2010-06-22 16:00:00,24.33,24.393,0.548069338679,24.9410693387,23.8449306613,-0.114948959108
2010-06-23 16:00:00,23.9,24.357,0.555963838279,24.9129638383,23.8010361617,-0.82199590789
2010-06-24 16:00:00,23.61,24.3565,0.556665589872,24.9131655899,23.7998344101,-1.34102055809
2010-06-25 16:00:00,23.16,24.287,0.614954854997,24.901954855,23.672045145,-1.832654854
2010-06-28 16:00:00,22.95,24.2165,0.683183530863,24.8996835309,23.5333164691,-1.85382103459
2010-06-29 16:00:00,22.01,24.0945,0.839313472585,24.9338134726,23.2551865274,-2.48357743333
